LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area_km2,night_transport_pts,night_bus,night_tube,night_transport_density_km2,LAD19CD,LAD19NM
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1431,1431,0,102.1,508,2.8,0.139092358,0,0,0,0,E09000002,Barking and Dagenham
E01000087,Barking and Dagenham 020B,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1341,1341,0,36,503,2.7,0.375162188,0,0,0,0,E09000002,Barking and Dagenham
E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1828,1723,105,80.7,640,2.7,0.224351395,0,0,0,0,E09000002,Barking and Dagenham
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1666,1666,0,114.5,612,2.7,0.15094192,0,0,0,0,E09000002,Barking and Dagenham
E01000090,Barking and Dagenham 020E,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1584,1584,0,8.1,549,2.9,1.943486365,0,0,0,0,E09000002,Barking and Dagenham
E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1714,1714,0,69.6,633,2.7,0.247762284,0,0,0,0,E09000002,Barking and Dagenham
E01000092,Barking and Dagenham 019E,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,2674,2674,0,10.1,975,2.7,2.643463285,0,0,0,0,E09000002,Barking and Dagenham
E01000093,Barking and Dagenham 022B,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1547,1547,0,52.7,642,2.4,0.292222458,0,0,0,0,E09000002,Barking and Dagenham
E01000094,Barking and Dagenham 022C,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1326,1326,0,22,517,2.6,0.600238101,0,0,0,0,E09000002,Barking and Dagenham
E01000095,Barking and Dagenham 018E,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1572,1572,0,6.9,549,2.9,2.297360771,0,0,0,0,E09000002,Barking and Dagenham
E01000096,Barking and Dagenham 022D,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1895,1895,0,31.5,639,3,0.59865007,0,0,0,0,E09000002,Barking and Dagenham
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1683,1683,0,93.9,708,2.4,0.181421663,0,0,0,0,E09000002,Barking and Dagenham
E01000098,Barking and Dagenham 023D,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1746,1746,0,99.5,625,2.8,0.173649517,0,0,0,0,E09000002,Barking and Dagenham
E01000099,Barking and Dagenham 023E,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1732,1732,0,55.9,666,2.6,0.310307819,0,0,0,0,E09000002,Barking and Dagenham
E01000100,Barking and Dagenham 004B,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1653,1653,0,78.2,615,2.7,0.210605432,0,0,0,0,E09000002,Barking and Dagenham
E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1513,1513,0,92.3,567,2.7,0.160998445,1,1,0,6.211240125,E09000002,Barking and Dagenham
E01000102,Barking and Dagenham 007G,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1540,1540,0,60.9,625,2.5,0.254390766,0,0,0,0,E09000002,Barking and Dagenham
E01000103,Barking and Dagenham 014A,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,1685,1685,0,24,600,2.8,0.698238302,0,0,0,0,E09000002,Barking and Dagenham
E01000104,Barking and Dagenham 014B,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,1781,1781,0,80.9,739,2.4,0.216169184,0,0,0,0,E09000002,Barking and Dagenham
E01000105,Barking and Dagenham 014C,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,2129,2115,14,96.4,915,2.3,0.223610366,0,0,0,0,E09000002,Barking and Dagenham
E01000106,Barking and Dagenham 014D,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,1968,1968,0,89.7,916,2.1,0.220851788,0,0,0,0,E09000002,Barking and Dagenham
E01000107,Barking and Dagenham 010C,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1666,1632,34,31.1,601,2.7,0.539433805,0,0,0,0,E09000002,Barking and Dagenham
E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1558,1558,0,64.4,652,2.4,0.238529254,0,0,0,0,E09000002,Barking and Dagenham
E01000109,Barking and Dagenham 004D,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1686,1686,0,44.9,608,2.8,0.375843426,0,0,0,0,E09000002,Barking and Dagenham
E01000110,Barking and Dagenham 002C,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1416,1404,12,72.8,501,2.8,0.188381664,2,2,0,10.6167445,E09000002,Barking and Dagenham
E01000111,Barking and Dagenham 002D,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1833,1833,0,61.8,732,2.5,0.301411064,0,0,0,0,E09000002,Barking and Dagenham
E01000112,Barking and Dagenham 002E,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1871,1871,0,67.4,739,2.5,0.276279589,2,2,0,7.239043628,E09000002,Barking and Dagenham
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1679,1679,0,109.1,633,2.7,0.15467316,2,2,0,12.93049163,E09000002,Barking and Dagenham
E01000114,Barking and Dagenham 004E,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,2090,2090,0,81.6,758,2.8,0.256211076,0,0,0,0,E09000002,Barking and Dagenham
E01000115,Barnet 009A,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1484,1460,24,54.2,485,3,0.27982177,0,0,0,0,E09000003,Barnet
E01000116,Barnet 009B,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1718,1718,0,70.1,623,2.8,0.245326309,0,0,0,0,E09000003,Barnet
E01000117,Barnet 010A,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1819,1819,0,54.9,762,2.4,0.329383627,0,0,0,0,E09000003,Barnet
E01000118,Barnet 010B,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1936,1936,0,67.8,709,2.7,0.28508452,0,0,0,0,E09000003,Barnet
E01000119,Barnet 009C,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1680,1680,0,42.3,607,2.8,0.400518723,0,0,0,0,E09000003,Barnet
E01000120,Barnet 009D,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1504,1504,0,61.4,505,3,0.242969991,0,0,0,0,E09000003,Barnet
E01000121,Barnet 010C,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1497,1398,99,39.8,501,2.8,0.376640934,0,0,0,0,E09000003,Barnet
E01000122,Barnet 009E,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1471,1463,8,62.3,522,2.8,0.23551851,0,0,0,0,E09000003,Barnet
